filter_name,error_rate_1,error_rate_2
dm_01.js,0,0
dm_02.js,0.8,0.0
dm_03.js,0.0,0
dm_04.js,0.0,0
dm_05.js,0,0
dm_06.js,0,0
dm_07.js,0,0
dm_08.js,1.0,0.0
dm_09.js,0.7142857142857143,0
dm_10.js,0.5,0
dm_11.js,0.3333333333333333,0
dm_12.js,0,0
dm_13.js,0.2857142857142857,0
dm_14.js,0.7777777777777778,0
dm_15.js,1.0,0
dm_16.js,0.75,0
dm_17.js,0.75,0
dm_18.js,1.0,0
dm_19.js,0.6666666666666666,0
dm_20.js,0,0
dm_21.js,0,0
dm_22.js,0.0,0.0
dm_23.js,0.3333333333333333,0.4
dm_24.js,0,0
dm_25.js,0,0
dm_26.js,0,0.0
dm_27.js,0,0
dm_28.js,0,0.5
dm_29.js,0,0.0
dm_30.js,0,0
dm_31.js,0,0.0
dm_32.js,0,0.0
dm_33.js,0,0.0
dm_34.js,0,0.5
dm_35.js,0,0.0
dm_36.js,0,0
dm_37.js,0,0
dm_38.js,0,0.5
dm_39.js,0,0
dm_40.js,0,0.0
dm_41.js,0,0.0
dm_42.js,0,0.0
dm_43.js,0,0.0
dm_44.js,0,0.0
dm_45.js,0,0.0
dm_46.js,0,0.0
dm_47.js,0,0.0
dm_48.js,0,0.0
dm_49.js,0,0.0
dm_50.js,0,0.0
